key,Model,mtbench,MMLU,Knowledge cutoff date,License,Organization,Link,rating,variance,rating_q975,rating_q025,num_battles,final_ranking,alpacaeval,EQ-Bench,opencompass_academic,opencompass_self_english,mtbench_hard,openllm_new,IFEval,IFEval Raw,BBH,BBH Raw,MATH Lvl 5,MATH Lvl 5 Raw,GPQA,GPQA Raw,MUSR,MUSR Raw,MMLU-PRO,MMLU-PRO Raw,openllm_old,ARC,HellaSwag,MMLU_openllm,TruthfulQA,Winogrande,GSM8K,english_elos
gemini-pro-dev-api,Gemini-1.0-Pro-001,-,0.718,2023/4,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.0-pro,1108.642843,8.391138331,1114.125308,1103.149859,12700,67,,,,,,,,,,,,,,,,,,,,,,,,,,1108.642843
starling-lm-7b-beta,Starling-LM-7B-beta,8.12,-,2024/3,Apache-2.0,Nexusflow,https://huggingface.co/Nexusflow/Starling-LM-7B-beta,1107.73741,10.59225003,1113.790034,1101.323726,9401,68,,73.82,,,23.01,,,,,,,,,,,,,,69.88,67.24,83.47,65.14,55.47,81.29,66.64,1107.73741
yi-34b-chat,Yi-34B-Chat,7.9,0.735,2023/6,Yi License,01 AI,https://huggingface.co/01-ai/Yi-34B-Chat,1106.375409,9.001475629,1112.296443,1100.814489,10774,68,27.2,71.62,,,23.15,23.9,46.99,0.47,37.62,0.56,4.31,0.04,11.74,0.34,8.36,0.4,34.37,0.41,65.32,65.44,84.16,74.9,55.37,80.11,31.92,1106.375409
phi-3-small-8k-instruct,Phi-3-Small-8k-Instruct,-,0.757,2023/10,MIT,Microsoft,https://huggingface.co/microsoft/Phi-3-small-8k-instruct,1106.045115,11.9393075,1112.938381,1100.028996,9360,68,,73.49,,,29.77,29.64,64.97,0.65,46.21,0.62,2.64,0.03,8.28,0.31,16.77,0.46,38.96,0.45,,,,,,,,1106.045115
dbrx-instruct-preview,DBRX-Instruct-Preview,-,0.737,2023/12,DBRX LICENSE,Databricks,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,1103.647356,7.160817365,1109.140804,1098.920259,18789,69,25.4,76.82,40.7,,24.63,,,,,,,,,,,,,,,,,,,,,1103.647356
gpt-3.5-turbo-0613,GPT-3.5-Turbo-0613,8.39,-,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5,1098.301272,4.07160509,1102.117483,1094.667951,29986,74,22.7,69.35,,,24.82,,,,,,,,,,,,,,,,,,,,,1098.301272
gemini-pro,Gemini Pro,-,0.718,2023/4,Proprietary,Google,https://blog.google/technology/ai/gemini-api-developers-cloud/,1097.806197,22.49259214,1108.432879,1089.442929,5176,70,24.4,75.08,,,17.8,,,,,,,,,,,,,,,,,,,,,1097.806197
wizardlm-70b,WizardLM-70B-v1.0,7.71,0.637,2023/8,Llama 2 Community,Microsoft,https://huggingface.co/WizardLM/WizardLM-70B-V1.0,1097.730049,14.9174179,1105.806574,1091.963991,6486,71,,,,,,,,,,,,,,,,,,,,,,,,,,1097.730049
claude-instant-1,Claude-Instant-1,7.85,0.734,-,Proprietary,Anthropic,https://www.anthropic.com/index/introducing-claude,1097.065137,7.354346934,1102.879367,1091.628253,16037,74,,,,,,,,,,,,,,,,,,,,,,,,,,1097.065137
claude-2.1,Claude-2.1,8.18,-,-,Proprietary,Anthropic,https://www.anthropic.com/index/claude-2-1,1096.97129,4.366806725,1101.652679,1092.878816,27159,74,25.3,,,,22.77,,,,,,,,,,,,,,,,,,,,,1096.97129
llama-2-70b-chat,Llama-2-70b-chat,6.86,0.63,2023/7,Llama 2 Community,Meta,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,1096.677912,5.081694442,1101.447562,1093.517613,26652,74,14.7,73.59,,,11.55,,,,,,,,,,,,,,,,,,,,,1096.677912
qwen1.5-14b-chat,Qwen1.5-14B-Chat,7.91,0.676,2024/2,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5/,1095.473965,8.864591411,1100.803357,1089.415508,9892,76,23.9,74.99,49.7,,,21.02,47.68,0.48,32.76,0.52,0,0,2.68,0.27,13.93,0.44,29.09,0.36,62.37,58.79,82.33,68.52,60.38,73.32,30.86,1095.473965
tulu-2-dpo-70b,Tulu-2-DPO-70B,7.89,-,2023/11,AI2 ImpACT Low-risk,AllenAI/UW,https://huggingface.co/allenai/tulu-2-dpo-70b,1092.070995,15.30599944,1099.131509,1085.47254,5104,77,21.2,76.63,,,14.99,,,,,,,,,,,,,,73.77,72.1,88.99,69.84,65.78,83.27,62.62,1092.070995
gpt-3.5-turbo-0125,GPT-3.5-Turbo-0125,7.94,-,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5-turbo,1086.68254,3.165958958,1090.056032,1083.362299,41204,83,17.7,64.97,,,23.34,,,,,,,,,,,,,,,,,,,,,1086.68254
vicuna-33b,Vicuna-33B,7.12,0.592,2023/8,Non-commercial,LMSYS,https://huggingface.co/lmsys/vicuna-33b-v1.3,1086.582186,5.710697325,1090.959885,1081.814239,16950,83,17.6,,,,8.63,,,,,,,,,,,,,,,,,,,,,1086.582186
starling-lm-7b-alpha,Starling-LM-7B-alpha,8.09,0.639,2023/11,CC-BY-NC-4.0,UC Berkeley,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha,1083.348005,14.6980849,1091.477923,1076.364796,7340,83,,73.9,,,12.8,20.64,54.8,0.55,21.95,0.44,7.18,0.07,6.26,0.3,9.5,0.41,24.13,0.32,67.13,63.82,84.9,64.67,46.39,80.58,62.4,1083.348005
mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,7.6,-,2023/12,Apache-2.0,Mistral,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,1081.826997,8.329164107,1088.258982,1077.832121,13098,85,17.1,,,,,18.44,54.96,0.55,22.91,0.45,2.64,0.03,3.47,0.28,7.61,0.4,19.08,0.27,65.71,63.14,84.88,60.78,68.26,77.19,40.03,1081.826997
phi-3-mini-4k-instruct-june-2024,Phi-3-Mini-4k-Instruct-June-24,-,0.709,2023/10,MIT,Microsoft,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,1081.556731,7.856957241,1087.077959,1076.421239,6963,85,,,,,,,,,,,,,,,,,,,,,,,,,,1081.556731
gpt-3.5-turbo-0314,GPT-3.5-Turbo-0314,7.94,0.7,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5,1081.506063,29.60165852,1092.621012,1071.348409,4590,81,,,,,18.05,,,,,,,,,,,,,,,,,,,,,1081.506063
openchat-3.5-0106,OpenChat-3.5-0106,7.8,0.658,2024/1,Apache-2.0,OpenChat,https://huggingface.co/openchat/openchat-3.5-0106,1080.85627,12.1088561,1087.019665,1073.864313,8402,85,,,,,,22.5,59.51,0.6,24.04,0.46,6.5,0.06,7.72,0.31,11.75,0.43,25.46,0.33,69.3,66.04,82.93,65.04,51.9,81.77,68.16,1080.85627
gemma-1.1-7b-it,Gemma-1.1-7b-it,-,0.643,2024/2,Gemma license,Google,https://huggingface.co/google/gemma-1.1-7b-it,1078.959571,6.441362287,1083.979688,1073.513944,13241,86,,,,,12.09,17.4,50.39,0.5,15.93,0.39,3.17,0.03,5.82,0.29,11.51,0.42,17.6,0.26,60.09,60.07,76.14,60.92,50.74,69.69,42.99,1078.959571
nous-hermes-2-mixtral-8x7b-dpo,Nous-Hermes-2-Mixtral-8x7B-DPO,-,-,2024/1,Apache-2.0,NousResearch,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,1078.170188,30.06092186,1089.491894,1068.721424,3077,83,,,,,,27.13,58.97,0.59,37.11,0.55,10.88,0.11,9.51,0.32,16.68,0.46,29.62,0.37,73.35,71.08,87.29,72.17,54.83,83.11,71.65,1078.170188
snowflake-arctic-instruct,Snowflake Arctic Instruct,-,0.673,2024/4,Apache 2.0,Snowflake,https://www.snowflake.com/blog/arctic-open-efficient-foundation-language-models-snowflake/,1077.476684,7.161146097,1082.118118,1072.465219,21058,87,,,,,17.61,,,,,,,,,,,,,,,,,,,,,1077.476684
phi-3-mini-4k-instruct,Phi-3-Mini-4k-Instruct,-,0.688,2023/10,MIT,Microsoft,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,1072.467417,9.155196158,1078.460363,1067.009193,10691,88,,58.15,,,,27.2,54.77,0.55,36.56,0.55,14.2,0.14,10.96,0.33,13.12,0.43,33.58,0.4,69.91,62.97,80.6,69.08,59.88,72.38,74.53,1072.467417
openhermes-2.5-mistral-7b,OpenHermes-2.5-Mistral-7b,-,-,2023/11,Apache-2.0,NousResearch,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,1072.217436,28.5389293,1084.36918,1061.72159,3904,86,16.2,,,,,21.22,55.71,0.56,27.77,0.49,4.46,0.04,4.47,0.28,12.06,0.42,22.83,0.31,61.52,64.93,84.18,63.64,52.24,78.06,26.08,1072.217436
llama2-70b-steerlm-chat,NV-Llama2-70B-SteerLM-Chat,7.54,0.685,2023/11,Llama 2 Community,Nvidia,https://huggingface.co/nvidia/Llama2-70B-SteerLM-Chat,1069.545528,32.062822,1080.525098,1059.210868,2789,88,,,,,,,,,,,,,,,,,,,,,,,,,,1069.545528
pplx-70b-online,pplx-70b-online,-,-,Online,Proprietary,Perplexity AI,https://blog.perplexity.ai/blog/introducing-pplx-online-llms,1066.471252,12.72567116,1072.886998,1059.664799,5313,93,,,,,,,,,,,,,,,,,,,,,,,,,,1066.471252
openchat-3.5,OpenChat-3.5,7.81,0.643,2023/11,Apache-2.0,OpenChat,https://huggingface.co/openchat/openchat_3.5,1064.796165,15.13133406,1072.927843,1057.805409,6279,93,,72.18,,,,,,,,,,,,,,,,,,,,,,,,1064.796165
deepseek-llm-67b-chat,DeepSeek-LLM-67B-Chat,-,0.713,2023/11,DeepSeek License,DeepSeek AI,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat,1063.858117,18.65147863,1072.00431,1055.286351,3859,94,17.8,,,,,26.87,55.87,0.56,33.23,0.52,6.65,0.07,8.84,0.32,23.93,0.51,32.71,0.39,71.79,67.75,86.82,72.42,55.85,84.21,63.68,1063.858117
llama-2-13b-chat,Llama-2-13b-chat,6.65,0.536,2023/7,Llama 2 Community,Meta,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,1061.060939,8.935048864,1068.361057,1056.225223,14141,96,,,,,,,,,,,,,,,,,,,,,,,,,,1061.060939
solar-10.7b-instruct-v1.0,SOLAR-10.7B-Instruct-v1.0,7.58,0.662,2023/11,CC-BY-NC-4.0,Upstage AI,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0,1060.208633,32.86291099,1070.992107,1050.07482,3363,95,,73.53,,,,19.63,47.37,0.47,31.87,0.52,0,0,7.83,0.31,6.94,0.39,23.76,0.31,74.2,71.08,88.16,66.21,71.43,83.58,64.75,1060.208633
dolphin-2.2.1-mistral-7b,Dolphin-2.2.1-Mistral-7B,-,-,2023/10,Apache-2.0,Cognitive Computations,https://huggingface.co/ehartford/dolphin-2.2.1-mistral-7b,1059.863177,56.90281211,1073.49548,1044.586356,1311,93,,,,,,,,,,,,,,,,,,,65.01,63.23,83.8,63.16,53.14,78.61,48.14,1059.863177
qwen1.5-7b-chat,Qwen1.5-7B-Chat,7.6,0.61,2024/2,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5/,1054.262267,24.63314398,1064.275854,1044.992787,3312,97,,35.4,,,,16.58,43.71,0.44,22.38,0.45,0,0,7.05,0.3,4.64,0.38,21.68,0.3,55.15,55.89,78.56,61.65,53.54,67.72,13.57,1054.262267
zephyr-7b-beta,Zephyr-7b-beta,7.34,0.614,2023/10,MIT,HuggingFace,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,1053.214225,12.34316276,1059.750633,1047.104596,8895,98,,,,,,17.72,49.5,0.5,21.49,0.43,2.42,0.02,5.37,0.29,7.73,0.39,19.79,0.28,61.95,62.03,84.36,61.07,57.45,77.74,29.04,1053.214225
gpt-3.5-turbo-1106,GPT-3.5-Turbo-1106,8.32,-,2021/9,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-3-5,1052.567002,8.344658689,1058.006898,1047.15617,13099,100,19.3,71.74,,,18.87,,,,,,,,,,,,,,,,,,,,,1052.567002
wizardlm-13b,WizardLM-13b-v1.2,7.2,0.527,2023/7,Llama 2 Community,Microsoft,https://huggingface.co/WizardLM/WizardLM-13B-V1.2,1050.727405,20.07423651,1058.435685,1040.894848,5603,100,,,,,,,,,,,,,,,,,,,,,,,,,,1050.727405
codellama-70b-instruct,CodeLlama-70B-instruct,-,-,2024/1,Llama 2 Community,Meta,https://huggingface.co/codellama/CodeLlama-70b-hf,1045.167272,130.8542608,1065.341647,1022.858344,723,97,,,,,,,,,,,,,,,,,,,,,,,,,,1045.167272
mpt-30b-chat,MPT-30B-chat,6.39,0.504,2023/6,CC-BY-NC-SA-4.0,MosaicML,https://huggingface.co/mosaicml/mpt-30b-chat,1043.367234,31.64292151,1054.938146,1033.751251,2107,103,,,,,,,,,,,,,,,,,,,55.38,58.7,82.54,51.16,52.42,75.3,12.13,1043.367234
llama-2-7b-chat,Llama-2-7b-chat,6.27,0.458,2023/7,Llama 2 Community,Meta,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf,1041.075656,12.00678789,1048.278904,1035.245042,10502,104,,,,,,,,,,,,,,,,,,,,,,,,,,1041.075656
zephyr-7b-alpha,Zephyr-7b-alpha,6.88,-,2023/10,MIT,HuggingFace,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha,1039.441214,68.84931861,1055.594161,1027.067776,1437,102,,,,,,18.53,51.91,0.52,23.96,0.46,1.51,0.02,6.38,0.3,7.5,0.39,19.94,0.28,59.5,61.01,84.04,61.39,57.9,78.61,14.03,1039.441214
pplx-7b-online,pplx-7b-online,-,-,Online,Proprietary,Perplexity AI,https://blog.perplexity.ai/blog/introducing-pplx-online-llms,1039.314337,16.26252251,1047.205976,1032.531012,4950,104,,,,,,,,,,,,,,,,,,,,,,,,,,1039.314337
codellama-34b-instruct,CodeLlama-34B-instruct,-,0.537,2023/7,Llama 2 Community,Meta,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf,1034.579195,20.09252609,1042.108224,1026.67884,5880,108,,,,,,,,,,,,,,,,,,,,,,,,,,1034.579195
phi-3-mini-128k-instruct,Phi-3-Mini-128k-Instruct,-,0.681,2023/10,MIT,Microsoft,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/,1034.014047,9.071451128,1039.959926,1028.804072,13034,109,,,,,15.43,25.49,59.76,0.6,37.1,0.56,8.91,0.09,9.06,0.32,7.71,0.39,30.38,0.37,68.07,63.14,80.09,68.7,54.12,72.85,69.52,1034.014047
gemma-7b-it,Gemma-7b-it,-,0.643,2024/2,Gemma license,Google,https://huggingface.co/google/gemma-7b-it,1032.303187,18.31873779,1040.609009,1023.735286,5835,109,,,,,7.47,12.83,38.68,0.39,11.88,0.36,1.59,0.02,4.59,0.28,12.53,0.43,7.72,0.17,53.56,51.45,71.96,53.52,47.29,67.96,29.19,1032.303187
guanaco-33b,Guanaco-33B,6.53,0.576,2023/5,Non-commercial,UW,https://huggingface.co/timdettmers/guanaco-33b-merged,1028.636326,42.22717884,1041.652612,1017.572528,2414,108,,,,,,,,,,,,,,,,,,,,,,,,,,1028.636326
vicuna-13b,Vicuna-13B,6.57,0.558,2023/7,Llama 2 Community,LMSYS,https://huggingface.co/lmsys/vicuna-13b-v1.5,1028.32578,7.678231034,1033.835935,1023.313531,15019,110,,,,,,,,,,,,,,,,,,,52.3,51.71,79.94,50.84,52.68,71.03,7.58,1028.32578
falcon-180b-chat,falcon-180b-chat,-,0.68,2023/9,Falcon-180B TII License,TII,https://huggingface.co/tiiuae/falcon-180B-chat,1026.652319,78.045257,1043.484674,1011.056638,1067,108,,,,,,,,,,,,,,,,,,,,,,,,,,1026.652319
olmo-7b-instruct,OLMo-7B-instruct,-,-,2024/2,Apache-2.0,Allen AI,https://huggingface.co/allenai/OLMo-7B-Instruct,1018.403585,18.3775877,1027.307535,1011.408045,4144,113,,,,,,,,,,,,,,,,,,,,,,,,,,1018.403585
qwen-14b-chat,Qwen-14B-Chat,6.96,0.665,2023/8,Qianwen LICENSE,Alibaba,https://huggingface.co/Qwen/Qwen-14B-Chat,1017.301745,23.77477994,1025.955894,1009.396659,3912,115,,,,,,,,,,,,,,,,,,,,,,,,,,1017.301745
gemma-1.1-2b-it,Gemma-1.1-2b-it,-,0.643,2024/2,Gemma license,Google,https://huggingface.co/google/gemma-1.1-2b-it,1013.362796,17.45758069,1020.804146,1006.048998,6159,118,,,,,3.37,7.78,30.67,0.31,5.86,0.32,0.15,0,2.57,0.27,2.02,0.34,5.37,0.15,,,,,,,,1013.362796
stripedhyena-nous-7b,StripedHyena-Nous-7B,-,-,2023/12,Apache 2.0,Together AI,https://huggingface.co/togethercomputer/StripedHyena-Nous-7B,1013.228864,21.79352732,1021.749179,1005.338497,4047,118,,,,,,,,,,,,,,,,,,,,,,,,,,1013.228864
mistral-7b-instruct,Mistral-7B-Instruct-v0.1,6.84,0.554,2023/9,Apache 2.0,Mistral,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1,1008.484633,16.28503625,1016.289609,1001.24291,7172,119,,,,,12.57,,,,,,,,,,,,,,,,,,,,,1008.484633
palm-2,PaLM-Chat-Bison-001,6.4,-,2021/6,Proprietary,Google,https://cloud.google.com/vertex-ai/docs/generative-ai/learn/models#foundation_models,1006.178651,17.51704531,1013.365951,998.657107,7024,119,,,,,,,,,,,,,,,,,,,,,,,,,,1006.178651
vicuna-7b,Vicuna-7B,6.17,0.498,2023/7,Llama 2 Community,LMSYS,https://huggingface.co/lmsys/vicuna-7b-v1.5,989.098069,16.65486506,996.5743475,981.1990533,5632,126,,,,,,,,,,,,,,,,,,,,,,,,,,989.098069
gemma-2b-it,Gemma-2b-it,-,0.423,2024/2,Gemma license,Google,https://huggingface.co/google/gemma-2b-it,981.8898687,39.64999116,994.1376904,972.2927391,3101,126,,,,,3,7.22,26.9,0.27,5.21,0.32,0.45,0,3.8,0.28,3.03,0.33,3.92,0.14,42.75,43.94,62.7,37.65,45.82,60.93,5.46,981.8898687
qwen1.5-4b-chat,Qwen1.5-4B-Chat,-,0.561,2024/2,Qianwen LICENSE,Alibaba,https://qwenlm.github.io/blog/qwen1.5/,966.9854306,18.95883201,974.5445816,958.7288635,4840,127,,,,,,12.33,31.57,0.32,16.3,0.4,0.98,0.01,2.24,0.27,7.36,0.4,15.51,0.24,46.79,43.26,69.73,55.55,44.79,64.96,2.43,966.9854306
koala-13b,Koala-13B,5.35,0.447,2023/4,Non-commercial,UC Berkeley,https://bair.berkeley.edu/blog/2023/04/03/koala/,961.0061943,19.48441876,970.8344298,952.4855508,5764,128,,,,,,,,,,,,,,,,,,,,,,,,,,961.0061943
chatglm3-6b,ChatGLM3-6B,-,-,2023/10,Apache-2.0,Tsinghua,https://huggingface.co/THUDM/chatglm3-6b,949.3796451,30.6642272,958.3894026,937.3168111,3659,129,,,,,,,,,,,,,,,,,,,,,,,,,,949.3796451
gpt4all-13b-snoozy,GPT4All-13B-Snoozy,5.41,0.43,2023/3,Non-commercial,Nomic AI,https://huggingface.co/nomic-ai/gpt4all-13b-snoozy,930.3323892,75.29481378,949.0059133,915.3104958,1418,130,,,,,,,,,,,,,,,,,,,,,,,,,,930.3323892
chatglm2-6b,ChatGLM2-6B,4.96,0.455,2023/6,Apache-2.0,Tsinghua,https://huggingface.co/THUDM/chatglm2-6b,924.8611615,40.5629486,934.3658921,908.3032166,2087,131,,,,,,,,,,,,,,,,,,,,,,,,,,924.8611615
mpt-7b-chat,MPT-7B-Chat,5.42,0.32,2023/5,CC-BY-NC-SA-4.0,MosaicML,https://huggingface.co/mosaicml/mpt-7b-chat,915.6208185,31.39425239,926.9626542,906.0247156,3346,131,,,,,,,,,,,,,,,,,,,45.39,46.5,75.51,37.62,40.16,68.43,4.09,915.6208185
RWKV-4-Raven-14B,RWKV-4-Raven-14B,3.98,0.256,2023/4,Apache 2.0,RWKV,https://huggingface.co/BlinkDL/rwkv-4-raven,906.3090454,25.92860555,918.5602841,898.7668029,4060,131,,,,,,,,,,,,,,,,,,,,,,,,,,906.3090454
alpaca-13b,Alpaca-13B,4.53,0.481,2023/3,Non-commercial,Stanford,https://crfm.stanford.edu/2023/03/13/alpaca.html,892.4584574,24.22489495,902.0547084,883.6383723,4847,134,,,,,,,,,,,,,,,,,,,,,,,,,,892.4584574
oasst-pythia-12b,OpenAssistant-Pythia-12B,4.32,0.27,2023/4,Apache 2.0,OpenAssistant,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,887.8477292,21.9683064,897.0777828,879.4010624,5262,135,,,,,,,,,,,,,,,,,,,,,,,,,,887.8477292
fastchat-t5-3b,FastChat-T5-3B,3.04,0.477,2023/4,Apache 2.0,LMSYS,https://huggingface.co/lmsys/fastchat-t5-3b-v1.0,871.0697618,30.25568114,881.9266497,859.579757,3504,136,,,,,,,,,,,,,,,,,,,,,,,,,,871.0697618
chatglm-6b,ChatGLM-6B,4.5,0.361,2023/3,Non-commercial,Tsinghua,https://huggingface.co/THUDM/chatglm-6b,858.1475872,34.22706908,869.1094804,845.764176,4114,137,,,,,,,,,,,,,,,,,,,,,,,,,,858.1475872
stablelm-tuned-alpha-7b,StableLM-Tuned-Alpha-7B,2.75,0.244,2023/4,CC-BY-NC-SA-4.0,Stability AI,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b,830.3208064,43.64436068,842.2985996,817.684162,2743,139,,,,,,,,,,,,,,,,,,,34.04,31.91,53.59,24.41,40.37,53.12,0.83,830.3208064
dolly-v2-12b,Dolly-V2-12B,3.28,0.257,2023/4,MIT,Databricks,https://huggingface.co/databricks/dolly-v2-12b,804.2729366,50.43052445,819.5249583,792.210798,2806,139,,,,,,6.38,23.55,0.24,6.38,0.33,1.44,0.01,0,0.24,5.5,0.37,1.43,0.11,39.46,42.41,72.53,25.92,33.83,60.85,1.21,804.2729366
llama-13b,LLaMA-13B,2.61,0.47,2023/2,Non-commercial,Meta,https://arxiv.org/abs/2302.13971,778.6895921,53.15352825,792.4909314,762.1532893,1985,140,,,,,,9.25,24.11,0.24,16.15,0.4,1.21,0.01,0.67,0.26,2.81,0.35,10.58,0.2,51.36,56.23,80.93,47.67,39.48,76.24,7.58,778.6895921